kon,koff,t,complex
1.0,0.05,10.0,0.7967762356242198
1.0,0.05,12.0,0.7986937311498177
1.0,0.05,14.0,0.7994701805203828
1.0,0.05,16.0,0.7997859384828754
1.0,0.05,18.0,0.7999112295048332
1.0,0.05,20.0,0.7999653557313676
1.0,0.05,22.0,0.7999844024742502
1.0,0.05,24.0,0.7999948461483295
1.0,0.05,26.0,0.7999970012242564
1.0,0.05,28.0,0.7999988478065574
1.0,0.05,30.0,0.8000003149514119
1.0,0.05,32.0,0.7999994754851765
1.0,0.05,34.0,0.7999994670301668
1.0,0.05,36.0,0.8000014403880867
1.0,0.05,38.0,0.8000015868768531
1.0,0.05,40.0,0.7999993800131859
1.0,0.05,42.0,0.7999981408426576
1.0,0.05,44.0,0.8000050424215669
1.0,0.05,46.0,0.8000113837841255
1.0,0.05,48.0,0.800007268314839
1.0,0.05,50.0,0.7999948374933405
1.0,0.05,52.0,0.7999882795688197
1.0,0.05,54.0,0.800001514132284
1.0,0.05,56.0,0.8000084969925124
1.0,0.05,58.0,0.7999979444003559
1.0,0.05,60.0,0.7999903658227752
1.0,0.1,0.0,0.0
1.0,0.1,2.0,0.6186034918909817
1.0,0.1,4.0,0.7023803848466275
1.0,0.1,6.0,0.7224402689670041
1.0,0.1,8.0,0.7278055423414258
1.0,0.1,10.0,0.7292799272139328
1.0,0.1,12.0,0.7296880222980073
1.0,0.1,14.0,0.7297995161753612
1.0,0.1,16.0,0.7298309149422568
1.0,0.1,18.0,0.7298411369047547
1.0,0.1,20.0,0.7298418862702414
1.0,0.1,22.0,0.7298442754025595
1.0,0.1,24.0,0.7298439979476814
1.0,0.1,26.0,0.7298429182843411
1.0,0.1,28.0,0.7298485188119361
1.0,0.1,30.0,0.7298455477414906
1.0,0.1,32.0,0.7298384845550991
1.0,0.1,34.0,0.7298626055746774
1.0,0.1,36.0,0.729873732101026
1.0,0.1,38.0,0.7298298559471624
1.0,0.1,40.0,0.7298244643653922
1.0,0.1,42.0,0.7299613454536205
1.0,0.1,44.0,0.7298905878592806
1.0,0.1,46.0,0.7297125097246088
1.0,0.1,48.0,0.729963484354804
1.0,0.1,50.0,0.7299686253086793
1.0,0.1,52.0,0.7296313901854232
1.0,0.1,54.0,0.7299361644099126
1.0,0.1,56.0,0.7298905010668564
1.0,0.1,58.0,0.7296841614005346
1.0,0.1,60.0,0.7297991049285262
1.0,0.15,0.0,0.0
1.0,0.15,2.0,0.5971266299827661
1.0,0.15,4.0,0.6646277587827923
1.0,0.15,6.0,0.6772822521841603
1.0,0.15,8.0,0.6798409359114183
1.0,0.15,10.0,0.680368289011998
1.0,0.15,12.0,0.6804765135968146
1.0,0.15,14.0,0.6805008685752144
1.0,0.15,16.0,0.6805061706699639
1.0,0.15,18.0,0.6805053088220208
1.0,0.15,20.0,0.680508688876656
1.0,0.15,22.0,0.6805062684378015
1.0,0.15,24.0,0.6805090497633862
1.0,0.15,26.0,0.6805210542875895
1.0,0.15,28.0,0.6804970427863539
1.0,0.15,30.0,0.6805306533482169
1.0,0.15,32.0,0.6805802712454921
1.0,0.15,34.0,0.6804398771421699
1.0,0.15,36.0,0.6806036776816172
1.0,0.15,38.0,0.6806229076459677
1.0,0.15,40.0,0.6803036022032793
1.0,0.15,42.0,0.6807272874220726
1.0,0.15,44.0,0.6803096939768287
